step,time,loss,acc
16300,2021-04-25T15:17:35.838580,2.025167e-01,9.140625e-01
16350,2021-04-25T15:17:43.923962,2.168954e-01,9.140625e-01
16400,2021-04-25T15:17:52.052231,2.066413e-01,9.218750e-01
16450,2021-04-25T15:18:00.208424,2.821592e-01,8.984375e-01
16500,2021-04-25T15:18:08.325722,2.814713e-01,8.671875e-01
16550,2021-04-25T15:18:16.891295,1.867017e-01,9.296875e-01
16600,2021-04-25T15:18:25.021561,2.589437e-01,8.750000e-01
16650,2021-04-25T15:18:33.124896,1.625255e-01,9.375000e-01
16700,2021-04-25T15:18:41.242193,2.290472e-01,8.828125e-01
16750,2021-04-25T15:18:49.345528,2.001084e-01,9.296875e-01
16800,2021-04-25T15:18:57.461828,1.714966e-01,9.218750e-01
16850,2021-04-25T15:19:05.581120,2.522967e-01,9.218750e-01
16900,2021-04-25T15:19:13.702407,1.883606e-01,9.296875e-01
16950,2021-04-25T15:19:21.803748,1.983089e-01,9.218750e-01
17000,2021-04-25T15:19:29.945978,2.098802e-01,9.140625e-01
17050,2021-04-25T15:19:38.509083,3.797492e-01,9.062500e-01
17100,2021-04-25T15:19:46.628376,2.297103e-01,8.984375e-01
17150,2021-04-25T15:19:54.729716,3.056924e-01,9.218750e-01
17200,2021-04-25T15:20:02.927797,2.014984e-01,8.984375e-01
17250,2021-04-25T15:20:11.008193,2.570553e-01,8.671875e-01
17300,2021-04-25T15:20:19.103550,2.192451e-01,9.218750e-01
17350,2021-04-25T15:20:27.238799,1.942573e-01,9.296875e-01
17400,2021-04-25T15:20:35.345126,2.608315e-01,9.062500e-01
17450,2021-04-25T15:20:43.479378,2.175844e-01,8.828125e-01
17500,2021-04-25T15:20:51.598670,1.556624e-01,9.375000e-01
17550,2021-04-25T15:21:00.136812,1.989802e-01,9.218750e-01
17600,2021-04-25T15:21:08.265080,2.689405e-01,8.671875e-01
17650,2021-04-25T15:21:16.411300,2.834101e-01,8.750000e-01
17700,2021-04-25T15:21:24.506657,2.194508e-01,8.828125e-01
17750,2021-04-25T15:21:32.645895,1.366920e-01,9.531250e-01
17800,2021-04-25T15:21:40.750227,2.016143e-01,9.062500e-01
17850,2021-04-25T15:21:48.867525,1.923580e-01,9.296875e-01
17900,2021-04-25T15:21:56.994795,2.084872e-01,9.062500e-01
17950,2021-04-25T15:22:05.135031,1.869437e-01,9.296875e-01
18000,2021-04-25T15:22:13.252329,1.488006e-01,9.296875e-01
18050,2021-04-25T15:22:21.941176,2.712676e-01,8.828125e-01
18100,2021-04-25T15:22:30.050494,3.129655e-01,8.593750e-01
18150,2021-04-25T15:22:38.177765,1.394047e-01,9.531250e-01
18200,2021-04-25T15:22:46.318999,3.212182e-01,8.750000e-01
18250,2021-04-25T15:22:54.442281,1.698653e-01,9.453125e-01
18300,2021-04-25T15:23:02.562570,2.067702e-01,9.218750e-01
18350,2021-04-25T15:23:10.646955,1.846348e-01,9.218750e-01
18400,2021-04-25T15:23:18.751288,2.924718e-01,8.984375e-01
18450,2021-04-25T15:23:26.872574,2.054101e-01,9.062500e-01
18500,2021-04-25T15:23:34.998854,2.526029e-01,8.984375e-01
18550,2021-04-25T15:23:43.716760,2.170738e-01,8.671875e-01
18600,2021-04-25T15:23:51.907860,1.468981e-01,9.296875e-01
18650,2021-04-25T15:24:00.069040,2.540004e-01,8.750000e-01
18700,2021-04-25T15:24:08.276097,2.225352e-01,8.984375e-01
18750,2021-04-25T15:24:16.427304,2.220075e-01,8.750000e-01
18800,2021-04-25T15:24:24.573525,2.669824e-01,8.906250e-01
18850,2021-04-25T15:24:32.712763,2.452480e-01,9.062500e-01
18900,2021-04-25T15:24:40.850007,2.043486e-01,9.296875e-01
18950,2021-04-25T15:24:49.006201,2.291512e-01,8.906250e-01
19000,2021-04-25T15:24:57.209269,1.652880e-01,9.140625e-01
19050,2021-04-25T15:25:05.934893,1.612400e-01,9.296875e-01
19100,2021-04-25T15:25:14.081113,2.174605e-01,9.140625e-01
19150,2021-04-25T15:25:22.275206,3.134807e-01,8.750000e-01
19200,2021-04-25T15:25:30.469298,2.495539e-01,8.750000e-01
19250,2021-04-25T15:25:38.697299,2.600848e-01,9.140625e-01
19300,2021-04-25T15:25:46.915331,1.919738e-01,9.296875e-01
19350,2021-04-25T15:25:55.088479,1.886572e-01,9.140625e-01
19400,2021-04-25T15:26:03.285563,2.000836e-01,9.140625e-01
19450,2021-04-25T15:26:11.458712,2.569166e-01,9.062500e-01
19500,2021-04-25T15:26:19.657790,2.444169e-01,8.984375e-01
19550,2021-04-25T15:26:28.292704,1.977916e-01,8.984375e-01
19600,2021-04-25T15:26:36.486796,2.042983e-01,9.218750e-01
19650,2021-04-25T15:26:44.655607,1.612949e-01,9.375000e-01
19700,2021-04-25T15:26:52.885603,2.029812e-01,9.140625e-01
19750,2021-04-25T15:27:01.070719,2.412193e-01,9.140625e-01
